size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_28,ff_time_32,
500, 250.20,356.40,245.90,421.20,12031.30,17020.70,31350.40,34886.30,64747.10,66672.30,91514.70,621.70,1140.40,5194.70,9817.50,11714.30,11974.90,23599.30,45808.30,39683.80,100781.80,
1000, 1130.20,1282.90,1376.40,660.30,4067.70,14402.10,28496.60,22757.30,61904.60,61040.40,94988.60,1600.90,4160.60,4600.60,8774.80,8768.10,15887.70,29558.00,40418.10,57978.10,98901.20,
5000, 33960.40,34578.70,18761.90,12478.00,9001.10,13406.40,20427.80,29249.50,40301.50,44669.60,59531.00,34866.90,20801.70,15240.30,17650.20,14145.50,23136.30,22025.80,36054.30,41864.00,75180.90,
10000, 132748.59,135634.00,78672.60,41550.20,24793.30,23767.50,28291.50,37515.00,54404.50,56036.20,68059.90,134420.70,81910.90,49490.40,29903.20,29314.90,35696.30,36798.40,46041.70,37760.10,66313.10,
15000, 302507.31,299012.50,176350.50,83948.30,54303.90,41634.10,39562.50,47779.60,64646.00,69474.10,79245.80,303262.59,181446.59,100950.90,59121.10,48118.60,50748.50,48553.90,51944.60,51836.20,80646.30,
20000, 534770.69,533534.62,279876.59,179029.59,94329.90,75796.50,66322.40,81538.00,82680.80,94356.80,99685.50,534698.69,318211.81,188916.50,99700.20,78204.20,74000.80,75691.30,78154.40,82585.60,99801.20,
30000, 1216899.25,1190053.00,639548.12,404031.00,208457.50,159602.50,146105.20,138200.09,152257.00,165197.70,162169.80,1199624.62,712436.12,407092.09,214699.80,165838.59,143149.80,140673.41,135772.80,155095.59,191182.09,
50000, 3311531.25,3388968.50,1848873.38,1054386.75,571881.69,425838.91,377356.31,366387.81,384007.69,402191.59,439052.19,3298720.50,1956484.25,1112266.38,563652.38,422970.31,382220.50,359374.91,356786.69,391878.31,446516.69,
