size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_28,ff_time_32,
500, 268.00,353.90,960.10,591.80,5096.00,12364.40,12982.40,18684.90,32278.80,41366.20,50769.00,488.70,2486.10,2569.70,6878.80,9127.40,15598.00,22397.50,38840.00,48519.00,99806.80,
1000, 1194.90,1554.00,1004.50,659.80,8621.70,15576.40,20566.70,25424.40,30392.00,48387.10,49743.60,1812.90,2668.00,4910.40,9192.50,6171.00,11962.10,18769.10,52193.80,57802.80,101257.90,
5000, 33517.80,36591.80,20414.30,12844.00,10367.20,15293.30,15331.30,22449.10,28114.50,34919.80,36383.60,34526.20,22240.20,17225.70,14385.00,19746.90,23765.10,31227.70,40765.30,41643.80,55331.90,
10000, 134967.70,135734.00,71107.20,43985.50,26303.10,25210.90,25994.10,33290.20,33225.20,38535.20,40610.00,134452.20,86836.80,49663.90,35300.60,34211.40,31955.80,36351.20,42009.00,39465.10,70126.80,
15000, 306230.41,306054.69,165527.30,104814.40,56340.30,46738.60,41978.20,54568.20,53695.60,58418.60,63353.00,301843.19,182399.30,106550.20,62523.60,59564.70,53201.70,49306.70,52746.30,62026.40,83725.80,
20000, 530612.38,535301.38,331620.31,182683.20,93519.10,77844.20,70520.40,75038.50,77169.40,81458.60,77558.60,531801.81,318063.09,180725.50,101914.00,77570.10,75915.30,72697.80,75769.40,74503.90,97769.10,
30000, 1186483.62,1197856.38,621958.31,380071.00,214981.80,166508.70,148699.00,145809.41,155368.91,155017.30,164149.41,1195199.88,719058.12,403185.19,209817.00,165236.80,147357.59,141562.91,147698.70,158647.50,183540.09,
50000, 3315428.50,3322691.00,1735087.62,1031968.19,574015.19,433956.59,376800.41,359974.09,379241.69,399329.50,403729.00,3309117.50,2015207.62,1133860.62,585130.69,433836.09,374158.09,353373.19,352107.00,402483.41,461804.50,
