size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_28,ff_time_32,
500, 264.10,386.80,213.90,282.10,7181.70,13285.90,16582.50,34310.10,48028.00,70771.90,78212.10,256.90,5556.00,5383.00,7207.20,9287.90,17306.80,14493.90,27774.50,38165.50,97436.00,
1000, 1136.10,1323.90,785.60,1128.90,7225.10,10533.60,29637.90,40133.70,63285.40,59914.50,93574.50,1256.40,4698.50,5185.10,4120.30,9370.40,12164.80,11815.20,24657.30,48644.80,94162.10,
5000, 32801.50,33037.60,20044.20,10472.70,7810.00,16333.50,16834.40,35562.70,48845.50,50886.90,62773.60,33010.40,22873.00,15386.10,11549.50,12935.50,26023.40,21847.50,29488.50,46401.90,44425.90,
10000, 131307.20,135866.09,75368.10,40498.90,26623.70,21740.10,28434.70,37097.10,47373.30,57779.90,62245.00,131595.00,80417.80,47495.90,31212.10,30968.00,29598.10,31210.30,34560.10,43079.90,64869.80,
15000, 301748.31,302528.19,169327.30,99298.30,56330.80,44598.80,38527.90,53523.00,63044.10,62364.30,73713.30,302879.91,182153.80,102267.50,59825.20,47473.20,44152.30,43464.50,48508.00,49907.70,63879.30,
20000, 527608.31,530922.69,268597.59,148075.91,94176.90,72522.30,73394.60,75791.60,89806.00,86440.30,100695.80,531485.88,319751.69,178800.80,101567.30,83337.50,76651.90,78656.50,76195.80,76487.10,96597.90,
30000, 1209855.62,1202450.12,653778.31,385448.41,205852.00,163231.70,143607.00,146081.70,152431.91,160790.50,167042.70,1223994.75,732377.88,405471.69,216564.20,161752.91,148245.00,141249.41,137409.70,149939.80,187414.00,
50000, 3320568.00,3300958.75,1959000.75,1119213.25,589729.31,424320.41,376111.09,367743.19,397746.69,406355.69,416182.19,3370948.00,1965104.38,1142681.88,574800.31,428271.00,379093.69,359986.59,364279.00,400367.09,458943.91,
