size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_28,th_time_32,
500, 248.80,359.10,231.00,287.20,9455.70,15322.30,17857.20,34399.30,65869.70,74435.70,92947.70,267.70,202.70,127.10,167.00,150.20,545.50,36035.90,36501.50,45372.40,54629.70,
1000, 1198.30,1407.00,966.40,1811.60,8832.90,17717.70,20937.90,37001.50,60231.90,77505.70,91067.30,1128.70,626.70,770.30,1709.70,368.20,841.40,32599.00,45251.10,48371.20,46986.90,
5000, 35449.30,33343.20,19609.50,10840.90,7458.90,13010.70,22075.90,34375.80,45797.20,61148.70,56005.80,34094.70,26630.70,15074.40,6346.70,7354.30,7785.80,31114.70,31878.00,35154.60,33727.60,
10000, 132297.91,134015.50,88807.40,42946.60,23882.30,23301.80,25656.20,41522.50,42637.70,64877.40,68311.20,134909.80,85017.40,46059.60,25682.50,20992.90,21735.30,40928.90,39014.50,46757.80,42209.70,
15000, 297218.09,297260.50,169834.59,88669.30,54437.40,43791.00,38043.80,42186.50,58701.30,63956.20,76321.60,296657.50,177999.41,102584.40,54366.10,43526.50,37003.30,58898.00,54803.60,55557.20,60162.50,
20000, 529425.19,529482.50,288857.91,174732.30,96040.50,76347.30,69532.10,83667.00,86595.00,100897.60,95216.90,543484.69,335741.81,193192.20,101215.60,77610.60,69354.00,104135.60,101919.50,94306.40,95184.30,
30000, 1219180.75,1219861.25,708515.81,371292.09,202605.80,161761.09,140926.00,152188.70,147074.00,161465.80,166180.30,1204944.75,721425.12,402497.50,204175.80,159512.30,134796.80,193916.59,174495.20,160527.09,166988.59,
50000, 3313299.25,3334214.25,1853217.62,1098287.38,559468.19,423584.09,379097.59,369343.50,371735.69,402550.69,427707.81,3313368.00,1957429.62,1117879.75,564717.00,418220.69,371440.09,529102.62,449720.31,403303.91,391255.69,
