size, seq_time,th_time_1,th_time_2,th_time_4,th_time_8,th_time_12,th_time_16,th_time_20,th_time_24,th_time_26,th_time_28,th_time_32,ff_time_1,ff_time_2,ff_time_4,ff_time_8,ff_time_12,ff_time_16,ff_time_20,ff_time_24,ff_time_26,ff_time_28,ff_time_32
1000, 35542.40,36824.00,23385.80,15871.40,12736.20,15145.60,24667.40,48374.60,49812.60,76351.00,93784.80,97028.40,36667.00,24596.40,20639.20,12640.20,7596.20,11310.20,48452.00,56175.20,51610.40,51130.80,55468.20,
5000, 876330.38,884886.38,702937.38,360155.00,227187.59,170811.41,128007.60,117045.60,133830.59,151679.59,150051.80,156056.59,892445.62,614798.62,428086.59,226946.20,151279.20,122699.60,207420.00,188951.59,175667.00,182099.59,170098.00,
10000, 2352573.25,2343923.00,1406519.62,1168262.25,605480.19,421838.19,331827.81,285718.81,264568.81,240752.20,317115.81,321204.41,2340752.75,1594325.25,1122723.38,581355.38,404451.41,305449.19,499814.00,441532.81,399563.19,377678.41,332979.59,
15000, 5254670.50,5253801.50,3257771.00,1476888.75,1408700.25,962987.62,758717.81,646081.62,634994.81,647478.81,635157.00,691531.81,5278491.00,3596576.75,2516051.25,1293589.75,878287.62,714071.38,1063435.75,926354.19,868941.81,798252.19,727990.00,
30000, 21021732.00,21047822.00,12675586.00,10465470.00,5416406.50,3739032.75,2898983.50,2300718.50,2118619.50,2151764.00,2592315.75,2512632.75,21109040.00,14353190.00,10275494.00,5208461.50,3501469.50,2649484.75,4160750.50,3578252.00,3325581.50,3082555.50,2705151.50,
60000, 83931984.00,84082936.00,42688748.00,31059370.00,21535588.00,14636485.00,11106287.00,9032058.00,8158732.00,9313258.00,8075799.00,8486790.00,86541544.00,62656600.00,41036152.00,20427720.00,13815387.00,10719731.00,17331320.00,14106867.00,13222230.00,11987589.00,10549432.00,
